Skola,Datum,Tentanummer,Totala poäng,Fråga 1 Poäng,Fråga 2 Poäng,Fråga 3 Poäng,Fråga 4 Poäng,Fråga 5 Poäng,Fråga 6 Poäng,Fråga 7 Poäng,Fråga 8 Poäng,Fråga 9 Poäng,Fråga 10 Poäng,Fråga 11 Poäng,Fråga 12 Poäng,Fråga 13 Poäng,Fråga 14 Poäng,Summa,Lika med E
Högskolan i Skövde,2019-03-06,SM-35-02,35.5,4,1,4,2,8,0,4,0,2.5,3,5,1,1,0,35.5,TRUE
Linköpings Universitet,2019-03-06,SM-30-02,51,10,1,3,0,8,7,0,4,3,3,3.5,2,1.5,5,51,TRUE
Linköpings Universitet,2019-03-06,SM-30-09,27,5,1,4,0,1,0,4,0,4,4,0,2,2,0,27,TRUE
Linköpings Universitet,2019-03-06,Sm-30-03,33,10,1,4,0,0,1,4,0,4,3,0,2,3,1,33,TRUE
Luleå tekniska universitet,2019-03-06,6502,49,10,1,3,0,9,7,2.5,0,2.5,4.5,4.5,1.5,3,0.5,49,TRUE
Linköpings Universitet,2019-03-06,SM-30-07,43,5,1,4,0,7,5,4,1,4,3,4,2,3,0,43,TRUE
Linköpings Universitet,2019-03-06,SM-30-05,46,10,0,4,0,2,4,4,3,4,4,5,1,5,0,46,TRUE
Luleå tekniska universitet,2019-03-06,6505,49.5,10,1,3,3,7,4,4,1,1.5,5,5,2,2.5,0.5,49.5,TRUE
Linköpings Universitet,2019-03-06,SM-30-04,37.5,7,1,4,0.5,4,6,5,0,4,3,0,2,0,1,37.5,TRUE
Linköpings Universitet,2019-03-06,SM-30-01,41,7,0,4,0,7,2,5,3,4,2,2,3,2,0,41,TRUE
Linköpings Universitet,2019-03-06,SM-30-08,31,10,0,4,0,2,0,3,3,4,3,2,0,0,0,31,TRUE
Luleå tekniska universitet,2019-03-06,6501,39.5,10,0,4,0,2,4,3,1.5,2.5,3,5,0,4,0.5,39.5,TRUE
Linköpings Universitet,2019-03-06,SM-30-06,37.5,10,1,4,0,3,1,3,0,3,2,3,2,1,4.5,37.5,TRUE
Luleå tekniska universitet,2019-03-06,6503,39.5,8,0,3,0,5,4.5,4,1,2.5,3,3.5,1,4,0,39.5,TRUE
Linköpings Universitet,2019-03-06,SM-30-10,32,10,1,4,0,1,0,3,0,4,2,4,0.5,1,1.5,32,TRUE
Luleå tekniska universitet,2019-03-06,6504,32.5,10,1,2,0,6,0,5,1.5,0,2.5,3.5,1,0,0,32.5,TRUE
Luleå tekniska universitet,2019-03-06,6507,29.5,4,1,3,0,4.5,5,3,0.5,0.5,0.5,4.5,0,3,0,29.5,TRUE
Luleå tekniska universitet,2019-03-06,6506,24,2,1,1,0,6,1,4,0,2.5,2,3,1.5,0.5,0,24.5,FALSE
Umeå Universitet,2019-03-06,SM-90-06,9,2,1,4,0,0,0,0,1,0,0,0,1,0,0,9,TRUE
Umeå Universitet,2019-03-06,SM-90-14,21,5,1,4,0,4,0,1,0,3,1,0,1,0,1,21,TRUE
Umeå Universitet,2019-03-06,SM-90-10,18,3,1,3,3,0,0,3,1,2,1,0,1,0,0,18,TRUE
Umeå Universitet,2019-03-06,SM-90-11,24,2,0,4,0,8,0,1,3,3,1,0,2,0,0,24,TRUE
Umeå Universitet,2019-03-06,SM-90-09,25,3,0,4,0,3,1,2,2,5,0,0,2,0,3,25,TRUE
Umeå Universitet,2019-03-06,SM-90-04,25,2,1,4,1,3,0,3,4,4,1,0,2,0,0,25,TRUE
Umeå Universitet,2019-03-06,SM-90-05,27,5,2,4,1,2,2,2,0,4,1,1,2,0,1,27,TRUE
Umeå Universitet,2019-03-06,SM-90-07,29,5,1,4,0,0,1,3,2,3,2,0,4,0,4,29,TRUE
Umeå Universitet,2019-03-06,SM-90-12,30,2,1,4,1,5,3,4,1,3,2,0,2,1,1,30,TRUE
Umeå Universitet,2019-03-06,SM-90-03,35,6,1,4,0,3,0,2,1,5,1,0,2,6,4,35,TRUE
Umeå Universitet,2019-03-06,SM-90-13,42,7,1,4,0,4,4,4,5,4,2,5,2,0,0,42,TRUE
Umeå Universitet,2019-03-06,SM-90-01,43,4,1,4,0,8,4,3,2,4,4,4,4,1,0,43,TRUE
Umeå Universitet,2019-03-06,SM-90-08,49,5,0,4,3,8,8,3,5,5,2,2,2,2,0,49,TRUE
Umeå Universitet,2019-03-06,SM-90-02,56,3,1,4,4,8,10,4,3,5,2,5,4,2,1,56,TRUE
Linnéuniversitetet Växjö,2019-03-06,SM-20-01,45,10,2,3,3,8,0,4,2,1,4,2,2,3,1,45,TRUE
Linnéuniversitetet Växjö,2019-03-06,SM-20-02,43.5,10,1,4,3,0,0,3,3,5,5,2.5,4,3,0,43.5,TRUE
Linnéuniversitetet Växjö,2019-03-06,SM-20-03,36.5,9,2,4,3,0,2,3,0.5,3,3,1,3,3,0,36.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-01,38.5,10,1,4,3,4,6.5,5,0,3,1,0,1,0,0,38.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-02,23.5,8,1,3,4,0,3.5,1,0,0,1,0,1,1,0,23.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-03,36,7,1,4,3,2,3,4,1,3,5,1,1,1,0,36,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-05,35,10,1.5,4,2,5.5,0,5,0,2,5,0,0,0,0,35,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-06,22.5,5,1,0,2,1,2,3,0,1,5,0,1,1,0.5,22.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-07,30.5,8,1,2,4,4,5.5,5,0,0,1,0,0,0,0,30.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-08,28.5,7,1,2,3,0.5,5.5,2,1,0,4,1,1,0,0.5,28.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-09,33.5,10,1,4,4,0.5,2,4,1,2,2,0,0,3,0,33.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-10,28.5,9,1.5,4,3,0.5,1.5,2,0,2,5,0,0,0,0,28.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-11,25.5,8,2,4,0,1,0.5,2,2,2,1,0,2,1,0,25.5,TRUE
Högskolan i Halmstad,2019-03-06,SM-70-12,28.5,10,0.5,4,4,1,1,5,0,0,1,0,1,1,0,28.5,TRUE
Karlstads Universitet,2019-03-06,SM-80-01,30.5,4,1,4,0,5,0,2,2,5,2.5,3,2,0,0,30.5,TRUE
Karlstads Universitet,2019-03-06,SM-80-02,30,8,1,3,0,2.5,0.5,2,2,3,2,4,2,0,0,30,TRUE
Karlstads Universitet,2019-03-06,SM-80-03,38.5,8,0,3,1,5,0.5,3,2,4,2,5,2,3,0,38.5,TRUE
Karlstads Universitet,2019-03-06,SM-80-04,30,6,0,2,0,5.5,0,1,1.5,2.5,2.5,3,2,4,0,30,TRUE
Karlstads Universitet,2019-03-06,SM-80-05,15,2,1,4,0,0.5,0,1,2.5,0,1,3,0,0,0,15,TRUE
Karlstads Universitet,2019-03-06,SM-80-06,34,9,0,3,0,4.5,0,0.5,2.5,2,2.5,5,2,3,0,34,TRUE
Karlstads Universitet,2019-03-06,SM-80-07,28.5,2,1,3,2,3.5,0,2.5,1.5,3,2,3,2,3,0,28.5,TRUE
Karlstads Universitet,2019-03-06,SM-80-08,23.5,2,1,2,0,2,0,2.5,1.5,4,2.5,3,2,1,0,23.5,TRUE
Karlstads Universitet,2019-03-06,SM-80-09,22,10,2,2,0,0,0,0.5,1,0,1.5,2,2,1,0,22,TRUE
Karlstads Universitet,2019-03-06,SM-80-10,25,3,1,2,1,2.5,0,2,1,3,1.5,5,2,0,1,25,TRUE
Karlstads Universitet,2019-03-06,SM-80-11,32.5,8,0,2,0,5.5,0,2.5,1.5,3.5,2.5,5,2,0,0,32.5,TRUE
Karlstads Universitet,2019-03-06,SM-80-12,30,6,2,2,2,4,0,2.5,0,0,0.5,4,2,1,4,30,TRUE
Karlstads Universitet,2019-03-06,SM-80-13,21.5,3,2,4,2,3.5,0,1.5,1,0,1.5,0,2,2,0,22.5,FALSE
Karlstads Universitet,2019-03-06,SM-80-15,19.5,5,1,1,3,3.5,0,1,2,0,2,0,1,0,0,19.5,TRUE
Mittuniversitet Sundsvall,2019-03-06,SM-85-01,40,10,2,4,2,6,2,4,0,4,4,0,0,2,0,40,TRUE
Mälardalens Högskola,2019-03-06,SM-10-01,26,10,0,4,0,1,1,2,1,0,5,0,0,1,1,26,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-01,55.5,5,1,4,0,8,9,5,1,4,4,5,3,3,3.5,55.5,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-02,56.5,8,1,4,0,6,9,5,0,5,5,5,3,2,3.5,56.5,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-03,53,8,1,3,0,8,6,3,4,3,4,5,2,2,4,53,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-04,47.5,8,1,4,4,4,1,5,1,5,4,4,3,1,2.5,47.5,TRUE
Handelshögskolan i Stockholm,2019-03-06,SM-45-05,49,8,1,4,2,1,9,3,2,2,5,5,4,0,3,49,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-04,33,7,0,3,2,1,1,2,2,2,5,5,2,0,1,33,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-06,45,8,2,4,2,7,8,2,0,5,5,0,2,0,0,45,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-03,30,8,0,4,0,6,2,4,0,0,4,0,2,0,0,30,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-05,40,10,2,4,3,5,7,5,0,0,4,0,0,0,0,40,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-02,32,5,1,4,1,1,0,3,3,3,4,3,2,0,2,32,TRUE
Handelshögskolan i Göteborg,2019-03-06,SM-95-07,53,10,2,4,4,4,2,4,3,5,5,5,4,0,1,53,TRUE
Linnéuniversitetet Kalmar,2019-03-06,SM-40-01,43,7,1,3,1,8,0,3,1,0,5,3,3,3,5,43,TRUE
Linnéuniversitetet Kalmar,2019-03-06,SM-40-02,17,2,0,4,1,0,0,3,0,0,2,1,2,2,0,17,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-03,27,3,0.5,3,1,3,0.5,2,0,2,2,5,3,1,1,27,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-06,23,6,0,3,2,1.5,0.5,1,1,1,4,1,2,0,0,23,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-05,21.5,4,0,4,2,0,0.5,2,1,0,4,0,2,1,1,21.5,TRUE
Uppsala Universitet Campus Gotland,2019-03-06,SM-75-01,16.5,2,0,2,4,2,0,2,0,0,3,0,1,0.5,0,16.5,TRUE
Södertörns högskola,2019-03-06,SM-25-17,39.5,10,0,1,0,3.5,2,2.5,1.5,2,5,5,2,1,4,39.5,TRUE
Södertörns högskola,2019-03-06,SM-25-15,37.5,10,1,2,0,4,0.5,5,2.5,5,4.5,2,0.5,0,0.5,37.5,TRUE
Södertörns högskola,2019-03-06,SM-25-14,31.5,10,1,1,0,0.5,0,4,3,4,1,2,2,0,3,31.5,TRUE
Södertörns högskola,2019-03-06,SM-25-16,29.5,6,2,2,0,1,0,5,2.5,0,5,5,1,0,0,29.5,TRUE
Södertörns högskola,2019-03-06,SM-25-10,27.5,10,1,1.5,0,1,1.5,1.5,3.5,2,1.5,2,1,1,0,27.5,TRUE
Södertörns högskola,2019-03-06,SM-25-03,23.5,10,1,1,0,0,0,1.5,2,0,3,4,1,0,0,23.5,TRUE
Södertörns högskola,2019-03-06,SM-25-06,21.5,10,1,2,0,0,0,4,1.5,1,1,0,1,0,0,21.5,TRUE
Södertörns högskola,2019-03-06,SM-25-17,19.5,10,1,0.5,0,0,0,0.5,2,0,1,4,0.5,0,0,19.5,TRUE
Södertörns högskola,2019-03-06,SM-25-02,20,4,1,1,0,1.5,0,2.5,1,0,0,4,1,4,0,20,TRUE
Södertörns högskola,2019-03-06,SM-25-04,19.5,6,1,3,0,1,0,1,1.5,0,0.5,4,0.5,0,1,19.5,TRUE
Södertörns högskola,2019-03-06,SM-25-11,19,1,0,1,0,1,0,5,0,1,4,4,1,1,0,19,TRUE
Södertörns högskola,2019-03-06,SM-25-09,16.5,3,0,0.5,0,1,1,3,4.5,0,1,2,0.5,0,0,16.5,TRUE
Södertörns högskola,2019-03-06,SM-25-05,14,6,0,0.5,0,1,0,0.5,0.5,0,0.5,4,1,0,0,14,TRUE