School                            ,q1  ,q2 ,q3 ,q4 ,q5 ,q6  ,q7 ,q8 ,q9 ,q10,q11,q12,q13,q14
Handelshögskolan i Göteborg       ,7.0 ,0.0,3.0,2.0,1.0,1.0 ,2.0,2.0,2.0,5.0,5.0,2.0,0.0,1.0
Handelshögskolan i Göteborg       ,8.0 ,2.0,4.0,2.0,7.0,8.0 ,2.0,0.0,5.0,5.0,0.0,2.0,0.0,0.0
Handelshögskolan i Göteborg       ,8.0 ,0.0,4.0,0.0,6.0,2.0 ,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0
Handelshögskolan i Göteborg       ,10.0,2.0,4.0,3.0,5.0,7.0 ,5.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Handelshögskolan i Göteborg       ,5.0 ,1.0,4.0,1.0,1.0,0.0 ,3.0,3.0,3.0,4.0,3.0,2.0,0.0,2.0
Handelshögskolan i Göteborg       ,10.0,2.0,4.0,4.0,4.0,2.0 ,4.0,3.0,5.0,5.0,5.0,4.0,0.0,1.0
Handelshögskolan i Stockholm      ,5.0 ,1.0,4.0,0.0,8.0,9.0 ,5.0,1.0,4.0,4.0,5.0,3.0,3.0,3.5
Handelshögskolan i Stockholm      ,8.0 ,1.0,4.0,0.0,6.0,9.0 ,5.0,0.0,5.0,5.0,5.0,3.0,2.0,3.5
Handelshögskolan i Stockholm      ,8.0 ,1.0,3.0,0.0,8.0,6.0 ,3.0,4.0,3.0,4.0,5.0,2.0,2.0,4.0
Handelshögskolan i Stockholm      ,8.0 ,1.0,4.0,4.0,4.0,1.0 ,5.0,1.0,5.0,4.0,4.0,3.0,1.0,2.5
Handelshögskolan i Stockholm      ,8.0 ,1.0,4.0,2.0,1.0,9.0 ,3.0,2.0,2.0,5.0,5.0,4.0,0.0,3.0
Högskolan i Halmstad              ,10.0,1.0,4.0,3.0,4.0,6.5 ,5.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0
Högskolan i Halmstad              ,8.0 ,1.0,3.0,4.0,0.0,3.5 ,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Högskolan i Halmstad              ,7.0 ,1.0,4.0,3.0,2.0,3.0 ,4.0,1.0,3.0,5.0,1.0,1.0,1.0,0.0
Högskolan i Halmstad              ,10.0,1.5,4.0,2.0,5.5,0.0 ,5.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad              ,5.0 ,1.0,0.0,2.0,1.0,2.0 ,3.0,0.0,1.0,5.0,0.0,1.0,1.0,0.5
Högskolan i Halmstad              ,8.0 ,1.0,2.0,4.0,4.0,5.5 ,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad              ,7.0 ,1.0,2.0,3.0,0.5,5.5 ,2.0,1.0,0.0,4.0,1.0,1.0,0.0,0.5
Högskolan i Halmstad              ,10.0,1.0,4.0,4.0,0.5,2.0 ,4.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0
Högskolan i Halmstad              ,9.0 ,1.5,4.0,3.0,0.5,1.5 ,2.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0
Högskolan i Halmstad              ,8.0 ,2.0,4.0,0.0,1.0,0.5 ,2.0,2.0,2.0,1.0,0.0,2.0,1.0,0.0
Högskolan i Halmstad              ,10.0,0.5,4.0,4.0,1.0,1.0 ,5.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Högskolan i Skövde                ,4.0 ,1.0,4.0,2.0,8.0,0.0 ,4.0,0.0,2.5,3.0,5.0,1.0,1.0,0.0
Karlstads Universitet             ,4.0 ,1.0,4.0,0.0,5.0,0.0 ,2.0,2.0,5.0,2.5,3.0,2.0,0.0,0.0
Karlstads Universitet             ,8.0 ,1.0,3.0,0.0,2.5,0.5 ,2.0,2.0,3.0,2.0,4.0,2.0,0.0,0.0
Karlstads Universitet             ,8.0 ,0.0,3.0,1.0,5.0,0.5 ,3.0,2.0,4.0,2.0,5.0,2.0,3.0,0.0
Karlstads Universitet             ,6.0 ,0.0,2.0,0.0,5.5,0.0 ,1.0,1.5,2.5,2.5,3.0,2.0,4.0,0.0
Karlstads Universitet             ,2.0 ,1.0,4.0,0.0,0.5,0.0 ,1.0,2.5,0.0,1.0,3.0,0.0,0.0,0.0
Karlstads Universitet             ,9.0 ,0.0,3.0,0.0,4.5,0.0 ,0.5,2.5,2.0,2.5,5.0,2.0,3.0,0.0
Karlstads Universitet             ,2.0 ,1.0,3.0,2.0,3.5,0.0 ,2.5,1.5,3.0,2.0,3.0,2.0,3.0,0.0
Karlstads Universitet             ,2.0 ,1.0,2.0,0.0,2.0,0.0 ,2.5,1.5,4.0,2.5,3.0,2.0,1.0,0.0
Karlstads Universitet             ,10.0,2.0,2.0,0.0,0.0,0.0 ,0.5,1.0,0.0,1.5,2.0,2.0,1.0,0.0
Karlstads Universitet             ,3.0 ,1.0,2.0,1.0,2.5,0.0 ,2.0,1.0,3.0,1.5,5.0,2.0,0.0,1.0
Karlstads Universitet             ,8.0 ,0.0,2.0,0.0,5.5,0.0 ,2.5,1.5,3.5,2.5,5.0,2.0,0.0,0.0
Karlstads Universitet             ,6.0 ,2.0,2.0,2.0,4.0,0.0 ,2.5,0.0,0.0,0.5,4.0,2.0,1.0,4.0
Karlstads Universitet             ,3.0 ,2.0,4.0,2.0,3.5,0.0 ,1.5,1.0,0.0,1.5,0.0,2.0,2.0,0.0
Karlstads Universitet             ,5.0 ,1.0,1.0,3.0,3.5,0.0 ,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0
Linköpings Universitet            ,10.0,1.0,3.0,0.0,8.0,7.0 ,0.0,4.0,3.0,3.0,3.5,2.0,1.5,5.0
Linköpings Universitet            ,5.0 ,1.0,4.0,0.0,1.0,0.0 ,4.0,0.0,4.0,4.0,0.0,2.0,2.0,0.0
Linköpings Universitet            ,10.0,1.0,4.0,0.0,0.0,1.0 ,4.0,0.0,4.0,3.0,0.0,2.0,3.0,1.0
Linköpings Universitet            ,5.0 ,1.0,4.0,0.0,7.0,5.0 ,4.0,1.0,4.0,3.0,4.0,2.0,3.0,0.0
Linköpings Universitet            ,10.0,0.0,4.0,0.0,2.0,4.0 ,4.0,3.0,4.0,4.0,5.0,1.0,5.0,0.0
Linköpings Universitet            ,7.0 ,1.0,4.0,0.5,4.0,6.0 ,5.0,0.0,4.0,3.0,0.0,2.0,0.0,1.0
Linköpings Universitet            ,7.0 ,0.0,4.0,0.0,7.0,2.0 ,5.0,3.0,4.0,2.0,2.0,3.0,2.0,0.0
Linköpings Universitet            ,10.0,0.0,4.0,0.0,2.0,0.0 ,3.0,3.0,4.0,3.0,2.0,0.0,0.0,0.0
Linköpings Universitet            ,10.0,1.0,4.0,0.0,3.0,1.0 ,3.0,0.0,3.0,2.0,3.0,2.0,1.0,4.5
Linköpings Universitet            ,10.0,1.0,4.0,0.0,1.0,0.0 ,3.0,0.0,4.0,2.0,4.0,0.5,1.0,1.5
Linnéuniversitetet Kalmar         ,7.0 ,1.0,3.0,1.0,8.0,0.0 ,3.0,1.0,0.0,5.0,3.0,3.0,3.0,5.0
Linnéuniversitetet Kalmar         ,2.0 ,0.0,4.0,1.0,0.0,0.0 ,3.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0
Linnéuniversitetet Växjö          ,10.0,2.0,3.0,3.0,8.0,0.0 ,4.0,2.0,1.0,4.0,2.0,2.0,3.0,1.0
Linnéuniversitetet Växjö          ,10.0,1.0,4.0,3.0,0.0,0.0 ,3.0,3.0,5.0,5.0,2.5,4.0,3.0,0.0
Linnéuniversitetet Växjö          ,9.0 ,2.0,4.0,3.0,0.0,2.0 ,3.0,0.5,3.0,3.0,1.0,3.0,3.0,0.0
Luleå tekniska universitet        ,10.0,1.0,3.0,0.0,9.0,7.0 ,2.5,0.0,2.5,4.5,4.5,1.5,3.0,0.5
Luleå tekniska universitet        ,10.0,1.0,3.0,3.0,7.0,4.0 ,4.0,1.0,1.5,5.0,5.0,2.0,2.5,0.5
Luleå tekniska universitet        ,10.0,0.0,4.0,0.0,2.0,4.0 ,3.0,1.5,2.5,3.0,5.0,0.0,4.0,0.5
Luleå tekniska universitet        ,8.0 ,0.0,3.0,0.0,5.0,4.5 ,4.0,1.0,2.5,3.0,3.5,1.0,4.0,0.0
Luleå tekniska universitet        ,10.0,1.0,2.0,0.0,6.0,0.0 ,5.0,1.5,0.0,2.5,3.5,1.0,0.0,0.0
Luleå tekniska universitet        ,4.0 ,1.0,3.0,0.0,4.5,5.0 ,3.0,0.5,0.5,0.5,4.5,0.0,3.0,0.0
Luleå tekniska universitet        ,2.0 ,1.0,1.0,0.0,6.0,1.0 ,4.0,0.0,2.5,2.0,3.0,1.5,0.5,0.0
Mittuniversitet Sundsvall         ,10.0,2.0,4.0,2.0,6.0,2.0 ,4.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0
Mälardalens Högskola              ,10.0,0.0,4.0,0.0,1.0,1.0 ,2.0,1.0,0.0,5.0,0.0,0.0,1.0,1.0
Södertörns högskola               ,10.0,0.0,1.0,0.0,3.5,2.0 ,2.5,1.5,2.0,5.0,5.0,2.0,1.0,4.0
Södertörns högskola               ,10.0,1.0,2.0,0.0,4.0,0.5 ,5.0,2.5,5.0,4.5,2.0,0.5,0.0,0.5
Södertörns högskola               ,10.0,1.0,1.0,0.0,0.5,0.0 ,4.0,3.0,4.0,1.0,2.0,2.0,0.0,3.0
Södertörns högskola               ,6.0 ,2.0,2.0,0.0,1.0,0.0 ,5.0,2.5,0.0,5.0,5.0,1.0,0.0,0.0
Södertörns högskola               ,10.0,1.0,1.5,0.0,1.0,1.5 ,1.5,3.5,2.0,1.5,2.0,1.0,1.0,0.0
Södertörns högskola               ,10.0,1.0,1.0,0.0,0.0,0.0 ,1.5,2.0,0.0,3.0,4.0,1.0,0.0,0.0
Södertörns högskola               ,10.0,1.0,2.0,0.0,0.0,0.0 ,4.0,1.5,1.0,1.0,0.0,1.0,0.0,0.0
Södertörns högskola               ,10.0,1.0,0.5,0.0,0.0,0.0 ,0.5,2.0,0.0,1.0,4.0,0.5,0.0,0.0
Södertörns högskola               ,4.0 ,1.0,1.0,0.0,1.5,0.0 ,2.5,1.0,0.0,0.0,4.0,1.0,4.0,0.0
Södertörns högskola               ,6.0 ,1.0,3.0,0.0,1.0,0.0 ,1.0,1.5,0.0,0.5,4.0,0.5,0.0,1.0
Södertörns högskola               ,1.0 ,0.0,1.0,0.0,1.0,0.0 ,5.0,0.0,1.0,4.0,4.0,1.0,1.0,0.0
Södertörns högskola               ,3.0 ,0.0,0.5,0.0,1.0,1.0 ,3.0,4.5,0.0,1.0,2.0,0.5,0.0,0.0
Södertörns högskola               ,6.0 ,0.0,0.5,0.0,1.0,0.0 ,0.5,0.5,0.0,0.5,4.0,1.0,0.0,0.0
Umeå Universitet                  ,2.0 ,1.0,4.0,0.0,0.0,0.0 ,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Umeå Universitet                  ,5.0 ,1.0,4.0,0.0,4.0,0.0 ,1.0,0.0,3.0,1.0,0.0,1.0,0.0,1.0
Umeå Universitet                  ,3.0 ,1.0,3.0,3.0,0.0,0.0 ,3.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0
Umeå Universitet                  ,2.0 ,0.0,4.0,0.0,8.0,0.0 ,1.0,3.0,3.0,1.0,0.0,2.0,0.0,0.0
Umeå Universitet                  ,3.0 ,0.0,4.0,0.0,3.0,1.0 ,2.0,2.0,5.0,0.0,0.0,2.0,0.0,3.0
Umeå Universitet                  ,2.0 ,1.0,4.0,1.0,3.0,0.0 ,3.0,4.0,4.0,1.0,0.0,2.0,0.0,0.0
Umeå Universitet                  ,5.0 ,2.0,4.0,1.0,2.0,2.0 ,2.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0
Umeå Universitet                  ,5.0 ,1.0,4.0,0.0,0.0,1.0 ,3.0,2.0,3.0,2.0,0.0,4.0,0.0,4.0
Umeå Universitet                  ,2.0 ,1.0,4.0,1.0,5.0,3.0 ,4.0,1.0,3.0,2.0,0.0,2.0,1.0,1.0
Umeå Universitet                  ,6.0 ,1.0,4.0,0.0,3.0,0.0 ,2.0,1.0,5.0,1.0,0.0,2.0,6.0,4.0
Umeå Universitet                  ,7.0 ,1.0,4.0,0.0,4.0,4.0 ,4.0,5.0,4.0,2.0,5.0,2.0,0.0,0.0
Umeå Universitet                  ,4.0 ,1.0,4.0,0.0,8.0,4.0 ,3.0,2.0,4.0,4.0,4.0,4.0,1.0,0.0
Umeå Universitet                  ,5.0 ,0.0,4.0,3.0,8.0,8.0 ,3.0,5.0,5.0,2.0,2.0,2.0,2.0,0.0
Umeå Universitet                  ,3.0 ,1.0,4.0,4.0,8.0,10.0,4.0,3.0,5.0,2.0,5.0,4.0,2.0,1.0
Uppsala Universitet Campus Gotland,3.0 ,0.5,3.0,1.0,3.0,0.5 ,2.0,0.0,2.0,2.0,5.0,3.0,1.0,1.0
Uppsala Universitet Campus Gotland,6.0 ,0.0,3.0,2.0,1.5,0.5 ,1.0,1.0,1.0,4.0,1.0,2.0,0.0,0.0
Uppsala Universitet Campus Gotland,4.0 ,0.0,4.0,2.0,0.0,0.5 ,2.0,1.0,0.0,4.0,0.0,2.0,1.0,1.0
Uppsala Universitet Campus Gotland,2.0 ,0.0,2.0,4.0,2.0,0.0 ,2.0,0.0,0.0,3.0,0.0,1.0,0.5,0.0
